,symbol,name,time_stamp,time_high,time_low,open,close,high,low,market_cap,volume
11,USDT,Tether USDt,2023-08-05T23:59:59.999Z,2023-08-05T22:46:00.000Z,2023-08-05T02:38:00.000Z,0.998631298,0.9989830846,0.9992290555,0.9982953864,83817254441.35,14278737532.63
12,USDT,Tether USDt,2023-05-25T23:59:59.999Z,2023-05-25T09:37:00.000Z,2023-05-25T07:26:00.000Z,0.9999501695,1.0000463777,1.0003738798,0.999479875,83066949522.55,20956153600.91
13,USDT,Tether USDt,2023-03-13T23:59:59.999Z,2023-03-13T00:41:00.000Z,2023-03-13T12:52:00.000Z,1.0073664361,1.0038696981,1.011596482,1.001292161,72834565865.64,72852500939.22
14,USDT,Tether USDt,2022-10-10T23:59:59.999Z,2022-10-10T07:51:00.000Z,2022-10-10T16:25:00.000Z,1.0001591745,1.0000182934,1.0001893577,0.9999402119,68373109843.55,37843287015.79
15,BTC,Bitcoin,2023-06-25T23:59:59.999Z,2023-06-25T04:39:00.000Z,2023-06-25T20:55:00.000Z,30545.1502334604,30480.2616057375,31041.2720670359,30327.9427839938,591683600297.12,12703464114.44
16,BTC,Bitcoin,2023-01-31T23:59:59.999Z,2023-01-31T22:55:00.000Z,2023-01-31T00:39:00.000Z,22840.7960906001,23139.2839099123,23225.0214038861,22765.5684994408,446082285297.19,22837828665.18
17,BNB,BNB,2023-04-26T23:59:59.999Z,2023-04-26T13:00:00.000Z,2023-04-26T20:10:00.000Z,338.3247904838,330.821781634,344.8168329732,325.43852676,51563040287.37,910334786.02
18,BNB,BNB,2023-02-05T23:59:59.999Z,2023-02-05T09:22:00.000Z,2023-02-05T13:16:00.000Z,330.5582605432,327.8693441177,337.3205290011,324.8794907917,51770723358.62,662969264.88
19,BNB,BNB,2023-01-27T23:59:59.999Z,2023-01-27T20:11:00.000Z,2023-01-27T01:56:00.000Z,304.8744503537,308.1231155076,309.8944769159,300.3205997754,48653379654.11,484897937.01
20,ETH,Ethereum,2023-08-26T23:59:59.999Z,2023-08-26T03:31:00.000Z,2023-08-26T19:25:00.000Z,1652.9272006973,1646.3068178601,1654.7777434101,1643.7126427688,197912705880.22,2423247747.14
21,ETH,Ethereum,2023-02-13T23:59:59.999Z,2023-02-13T07:25:00.000Z,2023-02-13T16:40:00.000Z,1514.9170530348,1507.1659232596,1524.7314356778,1470.0239826862,184437721061.01,9363855113.94
22,ETH,Ethereum,2022-10-19T23:59:59.999Z,2022-10-19T00:08:00.000Z,2022-10-19T23:50:00.000Z,1310.5631247277,1285.7442070375,1312.4423311944,1283.9652721643,157341486086.64,8350692784.56
23,USDT,Tether USDt,2023-04-22T23:59:59.999Z,2023-04-22T08:56:00.000Z,2023-04-22T01:45:00.000Z,1.0001397448,1.0001849814,1.0008676282,0.9995870442,81436930422.2,20337083600.62
24,USDT,Tether USDt,2022-12-25T23:59:59.999Z,2022-12-25T00:33:00.000Z,2022-12-25T20:07:00.000Z,0.9999892442,0.9999426722,1.0000526536,0.9998928951,66243849258.58,14856104217.46
25,USDT,Tether USDt,2022-12-18T23:59:59.999Z,2022-12-18T23:33:00.000Z,2022-12-18T01:28:00.000Z,1.0001335781,1.0001550646,1.0002199116,1.0000745241,66167363728.16,14422416297.86
26,USDT,Tether USDt,2022-11-24T23:59:59.999Z,2022-11-24T14:56:00.000Z,2022-11-24T01:35:00.000Z,0.9991913822,0.9994211802,0.9995065829,0.9991233369,65324717866.37,36841695606.61
27,USDT,Tether USDt,2022-10-03T23:59:59.999Z,2022-10-03T13:09:00.000Z,2022-10-03T16:15:00.000Z,1.0000563157,1.0000888978,1.0001575214,0.9999841596,67955464988.94,40191505533.98
28,BTC,Bitcoin,2023-04-04T23:59:59.999Z,2023-04-04T11:09:00.000Z,2023-04-04T00:38:00.000Z,27795.2743239989,28168.0898164027,28433.7429759972,27681.3050566141,544693901827.85,15284538858.55
29,BTC,Bitcoin,2023-01-23T23:59:59.999Z,2023-01-23T18:41:00.000Z,2023-01-23T15:01:00.000Z,22721.0886719506,22934.4314643586,23126.4863454372,22654.3044696935,441960667796.84,26518700511.88
30,BNB,BNB,2023-05-21T23:59:59.999Z,2023-05-21T08:28:00.000Z,2023-05-21T23:57:00.000Z,310.7096344198,306.5067182894,311.5177061432,306.4785222034,47771639109.14,302803529.81
31,BNB,BNB,2022-11-20T23:59:59.999Z,2022-11-20T04:20:00.000Z,2022-11-20T21:59:00.000Z,272.4303077993,264.2351228742,273.6504953265,262.555297413,42270466525.64,720361905.04
32,ETH,Ethereum,2023-06-21T23:59:59.999Z,2023-06-21T23:23:00.000Z,2023-06-21T00:13:00.000Z,1791.9950289874,1891.0071503552,1898.6689110531,1788.4892389467,227300141959.11,11731457711.06
33,ETH,Ethereum,2023-04-24T23:59:59.999Z,2023-04-24T01:19:00.000Z,2023-04-24T17:03:00.000Z,1862.0853137599,1842.7574513807,1888.1936772477,1811.792082619,221884640081.19,8438191337.54
34,ETH,Ethereum,2023-02-20T23:59:59.999Z,2023-02-20T11:54:00.000Z,2023-02-20T01:20:00.000Z,1682.3370321616,1702.6751158673,1716.489354478,1659.2950613323,208362936841.53,7703604237.35
35,USDT,Tether USDt,2023-08-31T23:59:59.999Z,2023-08-31T16:15:00.000Z,2023-08-31T22:52:00.000Z,1.0000374229,0.9998457448,1.0005891272,0.9996411184,82852238609.1,27302426037.31
36,USDT,Tether USDt,2023-05-04T23:59:59.999Z,2023-05-04T18:23:00.000Z,2023-05-04T10:38:00.000Z,1.0002190667,1.0004511566,1.0007995978,1.0000498988,82022813951.24,22536823771.89
37,USDT,Tether USDt,2023-04-01T23:59:59.999Z,2023-04-01T12:53:00.000Z,2023-04-01T00:16:00.000Z,1.000078429,1.0003011302,1.0006852427,0.9997185649,79717859040.34,19879792202.35
38,USDT,Tether USDt,2023-03-05T23:59:59.999Z,2023-03-05T13:58:00.000Z,2023-03-05T05:22:00.000Z,1.0001185997,1.0001066957,1.0002384797,1.0000533932,71450370818.94,19088160146.85
39,USDT,Tether USDt,2022-12-10T23:59:59.999Z,2022-12-10T16:15:00.000Z,2022-12-10T06:08:00.000Z,1.0000613487,1.0000455322,1.00008827,1.0000254415,65711185951.41,16256414916.41
40,BNB,BNB,2023-04-05T23:59:59.999Z,2023-04-05T12:52:00.000Z,2023-04-05T00:16:00.000Z,311.0009006955,314.063164794,316.3108268999,310.5144073538,49586621147.77,592856922.34
41,BNB,BNB,2023-04-02T23:59:59.999Z,2023-04-02T05:43:00.000Z,2023-04-02T19:48:00.000Z,314.9420673447,313.9286100072,316.1884222917,311.5365700946,49565588033.19,442429678.83
42,BNB,BNB,2022-09-25T23:59:59.999Z,2022-09-25T09:09:00.000Z,2022-09-25T22:07:00.000Z,275.1043339589,274.0612444385,279.2016851722,271.673119295,44216290548.63,640533920.32
43,ETH,Ethereum,2023-07-21T23:59:59.999Z,2023-07-21T18:04:00.000Z,2023-07-21T11:36:00.000Z,1891.5812793732,1892.0801319193,1905.3861774581,1885.2962660717,227568017429.56,4668158259.72
44,ETH,Ethereum,2023-02-28T23:59:59.999Z,2023-02-28T18:10:00.000Z,2023-02-28T21:44:00.000Z,1634.5024223677,1605.8951307949,1644.4357744832,1602.4280483361,196519595895.71,6323676957.26
45,ETH,Ethereum,2022-12-27T23:59:59.999Z,2022-12-27T00:04:00.000Z,2022-12-27T17:46:00.000Z,1226.9871016375,1212.791637557,1230.4180313311,1205.8955875988,148414001604.48,4091530736.65
46,BTC,Bitcoin,2023-05-24T23:59:59.999Z,2023-05-24T00:00:00.000Z,2023-05-24T15:10:00.000Z,27224.6037024623,26334.8182144365,27224.6037024623,26106.576623118,510440697384.33,16299104428.23
47,BTC,Bitcoin,2022-10-12T23:59:59.999Z,2022-10-12T22:14:00.000Z,2022-10-12T12:39:00.000Z,19052.6457860076,19157.4462868525,19203.1986510517,19029.7583291291,367391447229.96,24950173846.05
48,BNB,BNB,2023-04-30T23:59:59.999Z,2023-04-30T23:14:00.000Z,2023-04-30T02:05:00.000Z,322.1066318226,337.6455370289,337.9449275129,320.723042226,52626345936.38,865228955.85
49,BNB,BNB,2023-04-27T23:59:59.999Z,2023-04-27T00:28:00.000Z,2023-04-27T13:46:00.000Z,330.8463798518,331.1950938966,336.4452673194,329.1021706306,51621150963.99,750494420.01
50,BNB,BNB,2022-09-20T23:59:59.999Z,2022-09-20T00:11:00.000Z,2022-09-20T23:16:00.000Z,272.1305576187,266.3696063283,273.2031330478,265.6932157162,42975342722.64,845702947.25
51,ETH,Ethereum,2023-04-17T23:59:59.999Z,2023-04-17T00:14:00.000Z,2023-04-17T13:18:00.000Z,2120.0012396305,2076.2430038239,2120.1135626334,2063.0386843882,247975491589.17,9648882545.8
52,ETH,Ethereum,2023-03-25T23:59:59.999Z,2023-03-25T02:29:00.000Z,2023-03-25T20:03:00.000Z,1751.469499258,1743.7647859083,1762.6745108179,1716.6520353547,213391238626.05,6614309912.22
53,ETH,Ethereum,2022-12-24T23:59:59.999Z,2022-12-24T19:25:00.000Z,2022-12-24T06:24:00.000Z,1220.1178720003,1221.1486016354,1224.9116360862,1216.3387426871,149436675608.59,2626153345.38
54,ETH,Ethereum,2022-12-11T23:59:59.999Z,2022-12-11T19:10:00.000Z,2022-12-11T22:42:00.000Z,1266.4178664949,1263.8685480864,1281.7832114564,1260.663708823,154664480620.42,3362005847.68
55,ETH,Ethereum,2022-09-19T23:59:59.999Z,2022-09-19T22:58:00.000Z,2022-09-19T06:46:00.000Z,1335.2707285245,1377.5413278193,1388.2722606977,1287.4209501853,168666096121.15,18712714222.94
56,USDT,Tether USDt,2023-07-21T23:59:59.999Z,2023-07-21T19:57:00.000Z,2023-07-21T12:07:00.000Z,1.0000695623,1.0002164891,1.0006077825,0.9995438268,83837441784.16,21736934537.31
57,USDT,Tether USDt,2023-07-07T23:59:59.999Z,2023-07-07T16:04:00.000Z,2023-07-07T13:48:00.000Z,1.0000392366,0.9999586413,1.0007296815,0.9996359543,83353821328.9,21072109063.91
58,USDT,Tether USDt,2023-07-04T23:59:59.999Z,2023-07-04T10:40:00.000Z,2023-07-04T19:16:00.000Z,0.9999452313,1.0003014645,1.0008824796,0.9997965044,83377850487.81,20970952941.57
59,USDT,Tether USDt,2022-10-26T23:59:59.999Z,2022-10-26T23:19:00.000Z,2022-10-26T13:49:00.000Z,1.0002004642,1.0001987661,1.000276643,1.000119261,68527526268.29,78294376042.7
60,BTC,Bitcoin,2023-07-09T23:59:59.999Z,2023-07-09T14:37:00.000Z,2023-07-09T22:11:00.000Z,30291.6105302875,30171.2335717583,30427.5906603124,30085.5921932412,586079772336.97,7903327692.27
61,BTC,Bitcoin,2023-05-04T23:59:59.999Z,2023-05-04T10:38:00.000Z,2023-05-04T18:32:00.000Z,29031.3044477545,28847.7115906552,29353.1846595615,28694.0390246895,558617183940.51,15548678513.55
62,BNB,BNB,2023-06-11T23:59:59.999Z,2023-06-11T00:29:00.000Z,2023-06-11T23:32:00.000Z,239.087424894,235.4387967399,239.3482696379,234.4306985018,36694210385.53,376213807.86
63,BNB,BNB,2023-02-14T23:59:59.999Z,2023-02-14T15:16:00.000Z,2023-02-14T01:31:00.000Z,294.4704127574,296.1203719413,301.1332668681,290.1735066665,46756968312.83,662196431.67
64,BNB,BNB,2023-01-21T23:59:59.999Z,2023-01-21T10:16:00.000Z,2023-01-21T23:49:00.000Z,305.0204862587,299.2611548211,309.6165638521,299.0642438813,47254381542.53,755028963.51
65,BNB,BNB,2022-10-24T23:59:59.999Z,2022-10-24T00:35:00.000Z,2022-10-24T14:35:00.000Z,276.00076757,273.9774074262,276.8754638687,271.8848797023,43830941988.53,535946813.79
66,BNB,BNB,2022-10-13T23:59:59.999Z,2022-10-13T22:38:00.000Z,2022-10-13T12:34:00.000Z,270.9587202568,271.8514210798,273.492648975,257.9745108446,43859763700.45,1124480167.14
67,ETH,Ethereum,2023-04-28T23:59:59.999Z,2023-04-28T07:50:00.000Z,2023-04-28T15:14:00.000Z,1909.2731245103,1892.5127615707,1923.1992590358,1876.2918440681,227866713240.43,7691759733.39
68,ETH,Ethereum,2022-11-18T23:59:59.999Z,2022-11-18T03:04:00.000Z,2022-11-18T00:00:00.000Z,1200.8021752405,1212.3002469438,1226.7374756317,1200.8021752405,148353868235.31,7979913377.94
69,BNB,BNB,2023-03-16T23:59:59.999Z,2023-03-16T22:20:00.000Z,2023-03-16T01:47:00.000Z,307.2134547323,329.8608764323,333.0071706659,304.4295255275,52082308342.2,1337194824.02
70,BNB,BNB,2022-12-17T23:59:59.999Z,2022-12-17T23:52:00.000Z,2022-12-17T02:16:00.000Z,231.2207523941,242.5292816411,243.5819584118,221.0031953179,38796722023.24,1196953525.57
71,ETH,Ethereum,2023-08-20T23:59:59.999Z,2023-08-20T20:45:00.000Z,2023-08-20T07:01:00.000Z,1669.587747052,1684.8520501855,1692.3287513721,1662.9015072747,202538755664.15,4105056995.27
72,ETH,Ethereum,2023-06-20T23:59:59.999Z,2023-06-20T23:55:00.000Z,2023-06-20T14:28:00.000Z,1736.8797897445,1792.119945283,1793.3139117011,1715.3425624282,215424018944.87,7171072578.42
73,ETH,Ethereum,2023-04-02T23:59:59.999Z,2023-04-02T06:52:00.000Z,2023-04-02T19:43:00.000Z,1821.1920992225,1795.7080919438,1824.3289058504,1774.8724650207,216307003100.76,6199721188.44
74,ETH,Ethereum,2023-03-29T23:59:59.999Z,2023-03-29T08:38:00.000Z,2023-03-29T00:00:00.000Z,1772.8999553862,1793.0018848417,1825.6009799357,1772.8999553862,219416572783.88,9136176952.26
75,ETH,Ethereum,2023-01-30T23:59:59.999Z,2023-01-30T00:12:00.000Z,2023-01-30T20:28:00.000Z,1646.147646973,1567.3264809426,1646.6515549742,1546.6607903551,191799801098.5,9180418120.35
76,ETH,Ethereum,2022-10-23T23:59:59.999Z,2022-10-23T22:47:00.000Z,2022-10-23T12:28:00.000Z,1314.249452474,1363.4470578564,1367.7607250189,1302.9087590724,166850284146.24,9909510924.7
77,USDT,Tether USDt,2023-05-08T23:59:59.999Z,2023-05-08T01:50:00.000Z,2023-05-08T14:26:00.000Z,1.0015698667,1.0009256859,1.0019054322,1.0004484797,82164419978.29,32860419478.28
78,USDT,Tether USDt,2023-01-06T23:59:59.999Z,2023-01-06T09:57:00.000Z,2023-01-06T16:11:00.000Z,0.999710426,0.9997377928,0.999845917,0.9996263664,66255113260.69,20350836697.26
79,BTC,Bitcoin,2023-04-12T23:59:59.999Z,2023-04-12T12:36:00.000Z,2023-04-12T15:14:00.000Z,30231.5816232396,30139.052871052,30462.480941487,29725.5733501584,583034311648.57,18651929926.37
80,BTC,Bitcoin,2022-10-05T23:59:59.999Z,2022-10-05T00:05:00.000Z,2022-10-05T14:37:00.000Z,20335.8995793765,20160.7161716068,20343.7485202691,19801.8006612025,386489739242.67,33223790572.36
81,BNB,BNB,2023-08-20T23:59:59.999Z,2023-08-20T20:47:00.000Z,2023-08-20T15:11:00.000Z,217.0158488689,216.6358017322,217.8824235409,215.6808645451,33329801761.41,297744716.62
82,BNB,BNB,2023-05-24T23:59:59.999Z,2023-05-24T00:01:00.000Z,2023-05-24T15:10:00.000Z,313.5191318352,305.9327764074,313.5504182696,304.1655233632,47681999495.27,418835790.71
83,BNB,BNB,2023-02-20T23:59:59.999Z,2023-02-20T11:01:00.000Z,2023-02-20T01:20:00.000Z,312.0279227818,315.3774405493,319.3007720852,309.4282485723,49797193703.2,676396149.58
84,BNB,BNB,2022-10-03T23:59:59.999Z,2022-10-03T17:35:00.000Z,2022-10-03T00:08:00.000Z,284.414880973,287.031994164,288.6329008209,283.8986437551,46308955783.63,700566674.19
85,ETH,Ethereum,2023-01-09T23:59:59.999Z,2023-01-09T18:19:00.000Z,2023-01-09T00:31:00.000Z,1287.4507922311,1321.538946494,1342.1441686095,1286.6807425099,161721830239.88,7990438824.18
86,BTC,Bitcoin,2023-02-17T23:59:59.999Z,2023-02-17T20:26:00.000Z,2023-02-17T00:04:00.000Z,23621.2824942638,24565.6019889467,24924.0400603084,23460.7560266313,473972409615.04,41358451254.72
87,BTC,Bitcoin,2023-01-25T23:59:59.999Z,2023-01-25T22:08:00.000Z,2023-01-25T01:31:00.000Z,22639.2671675238,23117.8596819048,23722.0988087405,22406.0755024251,445539806080.32,30685366708.98
88,BTC,Bitcoin,2023-01-10T23:59:59.999Z,2023-01-10T21:44:00.000Z,2023-01-10T02:43:00.000Z,17192.9500944457,17446.292509299,17484.7208924046,17162.991166987,335987993694.35,15808338948.79
89,BTC,Bitcoin,2023-01-04T23:59:59.999Z,2023-01-04T18:55:00.000Z,2023-01-04T00:50:00.000Z,16680.2049714198,16863.2382582833,16964.5851854634,16667.7637251347,324658229824.73,18421743322.29
90,BTC,Bitcoin,2022-11-22T23:59:59.999Z,2022-11-22T16:04:00.000Z,2022-11-22T07:04:00.000Z,15782.3012305363,16189.7695319341,16253.0477467021,15656.6060601161,311078520948.59,30726828760.3
91,BTC,Bitcoin,2022-09-05T23:59:59.999Z,2022-09-05T00:05:00.000Z,2022-09-05T11:33:00.000Z,19988.7898184332,19812.3714787542,20031.1602515742,19673.0473387536,379258182345.46,28813460025.44
92,BNB,BNB,2023-08-28T23:59:59.999Z,2023-08-28T23:28:00.000Z,2023-08-28T08:19:00.000Z,218.3582483497,218.7185655726,218.970014328,215.8501962872,33650022331.15,332786869.36
93,BNB,BNB,2023-05-30T23:59:59.999Z,2023-05-30T10:43:00.000Z,2023-05-30T16:19:00.000Z,311.810334295,311.6845194064,314.2765999966,311.3135220837,48578128710.85,392038878.29
94,BNB,BNB,2022-11-27T23:59:59.999Z,2022-11-27T02:32:00.000Z,2022-11-27T23:46:00.000Z,311.3720554396,307.429278751,316.219868749,307.1563609635,49179890751.32,793779029.11
95,ETH,Ethereum,2023-05-08T23:59:59.999Z,2023-05-08T00:45:00.000Z,2023-05-08T18:04:00.000Z,1872.4751384308,1849.042756465,1886.1621296463,1818.4505648411,222504389357.37,9895102898.68
96,ETH,Ethereum,2023-02-21T23:59:59.999Z,2023-02-21T02:46:00.000Z,2023-02-21T22:07:00.000Z,1702.7977947801,1658.0363984124,1714.2856462201,1642.3967544528,202900324403.57,8721608198.05
97,ETH,Ethereum,2023-01-05T23:59:59.999Z,2023-01-05T00:19:00.000Z,2023-01-05T14:49:00.000Z,1256.4845925572,1250.4385512172,1258.5715587697,1245.1730563137,153020999980.23,4001786456.04
98,ETH,Ethereum,2022-12-10T23:59:59.999Z,2022-12-10T16:04:00.000Z,2022-12-10T09:28:00.000Z,1264.3754471071,1266.3840988056,1279.5279728938,1262.1199174962,154972318287.59,3282499999.33
99,USDT,Tether USDt,2023-05-19T23:59:59.999Z,2023-05-19T19:42:00.000Z,2023-05-19T15:21:00.000Z,1.0000168607,1.0002481945,1.0007569521,0.9994958178,82877488814.14,17414028937.82
100,USDT,Tether USDt,2023-05-02T23:59:59.999Z,2023-05-02T20:09:00.000Z,2023-05-02T15:01:00.000Z,1.0004238029,1.0004338604,1.0009703251,0.9997115799,81836688399.27,24895722187.29
101,BTC,Bitcoin,2023-05-16T23:59:59.999Z,2023-05-16T00:30:00.000Z,2023-05-16T01:29:00.000Z,27171.5145793968,27036.650709944,27299.3048116412,26878.9479718172,523846408825.17,12732238815.9
102,BTC,Bitcoin,2023-04-02T23:59:59.999Z,2023-04-02T03:40:00.000Z,2023-04-02T22:20:00.000Z,28462.8448011161,28199.3083837745,28518.9584078453,27884.0870913286,545245950698.05,12284641999.34
103,BTC,Bitcoin,2022-11-08T23:59:59.999Z,2022-11-08T02:31:00.000Z,2022-11-08T19:35:00.000Z,20600.6727471588,18541.2718532238,20664.6065202996,17603.5443690046,356030188152.67,118992465606.57
104,BNB,BNB,2023-08-04T23:59:59.999Z,2023-08-04T17:05:00.000Z,2023-08-04T20:52:00.000Z,241.0428560037,241.4760117512,243.1554748085,240.4522857307,37152196085.96,370373498.99
105,BNB,BNB,2023-06-13T23:59:59.999Z,2023-06-13T12:42:00.000Z,2023-06-13T01:10:00.000Z,231.0750429678,243.8905271358,245.6421985444,229.3116948655,38011354861.71,864407068.49
106,ETH,Ethereum,2023-08-08T23:59:59.999Z,2023-08-08T21:22:00.000Z,2023-08-08T02:05:00.000Z,1826.9309959765,1855.8073211753,1873.8472283619,1824.4300565131,222992394106.75,5812855406.06
107,ETH,Ethereum,2023-06-16T23:59:59.999Z,2023-06-16T20:55:00.000Z,2023-06-16T14:48:00.000Z,1665.4106761871,1716.668853444,1727.2895658883,1653.170927358,206369179860.34,6281023478.71
108,ETH,Ethereum,2022-09-11T23:59:59.999Z,2022-09-11T17:41:00.000Z,2022-09-11T21:58:00.000Z,1775.9760395663,1761.8000273934,1782.7298718641,1730.1648511375,215523920726.08,12464301922.09
109,USDT,Tether USDt,2023-05-26T23:59:59.999Z,2023-05-26T19:55:00.000Z,2023-05-26T00:39:00.000Z,0.9999977714,1.0003444834,1.0009760567,0.9997638932,83118891107.33,19111705070.36
110,USDT,Tether USDt,2023-04-28T23:59:59.999Z,2023-04-28T21:52:00.000Z,2023-04-28T00:38:00.000Z,1.0002332801,1.0006958459,1.000967464,0.9998746627,81672327936.96,27117912215.65
111,USDT,Tether USDt,2022-10-16T23:59:59.999Z,2022-10-16T21:27:00.000Z,2022-10-16T13:24:00.000Z,1.0000842407,1.0000565378,1.0001494235,1.0000293364,68436428830.97,27428821904.8
112,USDT,Tether USDt,2022-10-14T23:59:59.999Z,2022-10-14T01:43:00.000Z,2022-10-14T02:37:00.000Z,1.0000834621,1.0000739721,1.0001530446,1.0000162858,68427521157.41,48926387474.95
113,BTC,Bitcoin,2022-11-29T23:59:59.999Z,2022-11-29T11:25:00.000Z,2022-11-29T00:20:00.000Z,16217.6399037709,16444.9832700291,16522.2574706655,16139.3962752471,316074930082.57,23581685467.5
114,BTC,Bitcoin,2022-10-02T23:59:59.999Z,2022-10-02T05:35:00.000Z,2022-10-02T23:37:00.000Z,19311.8487082258,19044.1072723711,19370.3092809335,18970.6205832529,365024821953.69,20765955327.49
115,BTC,Bitcoin,2022-10-01T23:59:59.999Z,2022-10-01T00:22:00.000Z,2022-10-01T20:13:00.000Z,19431.1049459172,19312.0947321314,19471.1548671102,19231.0818744273,370142714486.9,18719537669.88
116,BNB,BNB,2023-08-10T23:59:59.999Z,2023-08-10T02:18:00.000Z,2023-08-10T19:34:00.000Z,243.8855401305,241.2624696955,243.9260949128,240.3945929471,37119032079.6,365863689.57
117,BNB,BNB,2023-06-15T23:59:59.999Z,2023-06-15T00:55:00.000Z,2023-06-15T11:28:00.000Z,237.6096919376,236.2806907263,240.1553292207,231.065806555,36825242367.48,502420772.23
118,BNB,BNB,2022-12-18T23:59:59.999Z,2022-12-18T23:17:00.000Z,2022-12-18T01:31:00.000Z,242.5169094018,251.1563890176,253.3396872946,240.036531323,40176732867.76,925487109.62
119,ETH,Ethereum,2023-03-24T23:59:59.999Z,2023-03-24T02:22:00.000Z,2023-03-24T17:50:00.000Z,1815.819811206,1752.0448567755,1819.9352613703,1730.3495165509,214404502910.64,10913669382.91
120,ETH,Ethereum,2022-10-10T23:59:59.999Z,2022-10-10T01:08:00.000Z,2022-10-10T23:59:00.000Z,1322.6186703697,1291.3376254069,1335.6627534966,1291.3376254069,158499128156.64,8794491050.04
121,USDT,Tether USDt,2023-04-09T23:59:59.999Z,2023-04-09T06:14:00.000Z,2023-04-09T00:57:00.000Z,1.0004554124,1.000457912,1.0009674931,0.999873119,80247267378.84,19753710645.84
122,USDT,Tether USDt,2023-01-21T23:59:59.999Z,2023-01-21T10:47:00.000Z,2023-01-21T18:05:00.000Z,1.0001831839,1.0002169841,1.0004087648,1.0001281667,66499261962.97,40470629184.14
123,BTC,Bitcoin,2023-03-01T23:59:59.999Z,2023-03-01T09:01:00.000Z,2023-03-01T00:57:00.000Z,23150.9299581785,23646.549899145,23880.6324628676,23088.6266999013,456508161672.8,24662841199.56
124,BTC,Bitcoin,2023-02-20T23:59:59.999Z,2023-02-20T15:10:00.000Z,2023-02-20T01:16:00.000Z,24336.6233404821,24829.1475699492,25020.4595125254,23927.9092534735,479132405758.14,28987376572.9
125,BTC,Bitcoin,2022-11-11T23:59:59.999Z,2022-11-11T01:22:00.000Z,2022-11-11T14:32:00.000Z,17583.2524305101,17034.2931347133,17650.9440525421,16543.4823901353,327139766936.22,55871616488.33
126,BTC,Bitcoin,2022-11-03T23:59:59.999Z,2022-11-03T05:53:00.000Z,2022-11-03T12:51:00.000Z,20162.6892278966,20209.9874150039,20382.0963206451,20086.2409033906,387983112928.37,43228750179.43
127,BNB,BNB,2023-07-02T23:59:59.999Z,2023-07-02T00:52:00.000Z,2023-07-02T04:04:00.000Z,247.7860220416,246.2579118986,248.0563941213,243.2412782735,38379537599.78,519491310.81
128,BNB,BNB,2023-03-22T23:59:59.999Z,2023-03-22T07:10:00.000Z,2023-03-22T20:01:00.000Z,335.2941414024,321.8877164652,339.6857946703,317.6002392869,50822991269.6,1280612242.34
129,BNB,BNB,2022-12-03T23:59:59.999Z,2022-12-03T00:07:00.000Z,2022-12-03T09:01:00.000Z,293.5003783364,290.5631512229,294.0430315017,289.70445532,46481371529.18,634607104.65
130,ETH,Ethereum,2023-08-29T23:59:59.999Z,2023-08-29T16:28:00.000Z,2023-08-29T12:18:00.000Z,1652.2742194714,1729.7256498746,1742.6373264063,1639.5762039168,207942703368.28,11304916728.79
